img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,10,31.14468878305675,0.8472920571942439,0.8606855270269844,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.2,2.0,0.05,10,31.096044838244413,0.8466356883336805,0.850264017078967,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.2,2.0,0.05,12,30.990061666249407,0.8455516338158309,0.8278003223787731,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,14,30.86035632121243,0.8433034048218875,0.7996635157690846,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.2,2.0,0.05,14,30.845979628484564,0.8432438404259496,0.7966775414514502,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,6,31.108134140133863,0.8426223489087898,0.849930511806734,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.2,2.0,0.05,6,31.038435523827815,0.8415802053639964,0.8349270616093782,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,8,31.215582813709748,0.8483277356575111,0.8759292669187425,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.2,2.0,0.05,8,31.15315158026769,0.8474827353150143,0.8625521428877447,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,10,31.174525702936535,0.8496799462847694,0.868467510639314,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.2,2.0,0.05,10,31.125917627075296,0.8490783963261359,0.8580917197155984,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,12,31.05487934774153,0.8487077596919639,0.8432839676509468,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.2,2.0,0.05,12,31.02263198086097,0.8483562630050704,0.8364338104809845,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,14,30.895564433784944,0.8464473873096557,0.8090747598307542,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.2,2.0,0.05,14,30.880126619274073,0.8463386867828753,0.8058370774572897,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,6,31.095368783903375,0.8411428573486476,0.8462805826312587,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.2,2.0,0.05,6,31.02457042239019,0.8399481879211631,0.8309451416556709,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,8,31.170172340946294,0.8455333639220934,0.8646733548681672,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.2,2.0,0.05,8,31.10839854221011,0.844547034102206,0.8513319397472305,results/sweeps/man_sigma10\metrics.jsonl
